Name,Model,Trim,Student,Military,First_Responder,Bonus,Loyalty,Conquest,Mobility
Toyota,2021 Toyota Highlander,XLE 4dr SUV AWD (3.5L 6cyl 8A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota 4Runner,TRD OFF-ROAD Premium 4dr SUV 4WD (4.0L 6cyl 5A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota GR Supra,3.0 Premium 2dr Coupe (3.0L 6cyl Turbo 8A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Sienna,LE 8-Passenger 4dr Minivan (2.5L 4cyl gas/electric hybrid CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Tacoma,TRD Off Road 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota RAV4 Prime,SE 4dr SUV AWD (2.5L 4cyl gas/electric hybrid CVT),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Avalon,XLE 4dr Sedan (3.5L 6cyl 8A),$500 Student/College Grad for Retail or Lease - Expires 03/31/2021,$500 Military for Retail or Lease - Expires 03/31/2021,,,,,
Toyota,2021 Toyota Mirai,XLE 4dr Sedan (electric (fuel cell) CVT),,,,,,,
Ram,2020 Ram 2500,Tradesman 4dr Crew Cab 4WD SB (6.4L 8cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Ram,2020 Ram 3500,Tradesman 4dr Crew Cab 4WD LB (6.4L 8cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Ram,2020 Ram Promaster City,Wagon 4dr Minivan (2.4L 4cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,"$1,750 Conquest for Retail or Lease - Expires 03/31/2021,$750 Conquest for Retail or Lease - Expires 03/31/2021",
Ram,2020 Ram 1500 Classic,Warlock 4dr Quad Cab 4WD SB (3.6L 6cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Ram,2020 Ram Promaster Window Van,3500 High Roof 3dr Van (3.6L 6cyl 6A),,,,,,,
Ram,2020 Ram Promaster Cargo Van,"2500 High Roof 3dr Van w/159"" WB (3.6L 6cyl 6A)",,,,,,,
Ram,2020 Ram 1500,Big Horn 4dr Crew Cab 4WD 5.6 ft SB (3.6L 6cyl gas/electric hybrid 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/04/2022,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Ram,2021 Ram 3500,Lone Star 4dr Crew Cab 4WD SB (6.4L 8cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Ram,2021 Ram 1500 Classic,Express 2dr Regular Cab SB (3.6L 6cyl 8A),,,,,,,
Ram,2021 Ram 2500,Laramie 4dr Crew Cab 4WD SB (6.4L 8cyl 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,,,$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Ram,2021 Ram Promaster City,Tradesman SLT Cargo 4dr Minivan (2.4L 4cyl 9A),,$500 Military for Retail or Lease - Expires 01/03/2022,,"$3,000 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021",,$750 Conquest for Retail or Lease - Expires 03/31/2021,
Ram,2021 Ram Promaster Cargo Van,"2500 High Roof 3dr Van w/159"" WB (3.6L 6cyl 6A)",,,,,,,
Ram,2021 Ram 1500,Big Horn 4dr Crew Cab 4WD 5.6 ft SB (3.6L 6cyl gas/electric hybrid 8A),,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder Discount for Retail or Lease - Expires 01/04/2022,"$1,000 Customer Bonus Cash for Retail or Lease - Expires 03/31/2021",$500 Loyalty for Retail or Lease - Expires 03/31/2021,,
Volkswagen,2020 Volkswagen Atlas,S 4dr SUV (2.0L 4cyl Turbo 8A),$500 Student/College Grad for Retail or Lease - Expires 01/03/2022,$500 Military for Retail or Lease - Expires 01/03/2022,$500 First Responder for Retail or Lease - Expires 01/03/2022,,,,"$1,000 Mobility for Retail or Lease - Expires 01/03/2022"
Ram,2021 Ram Promaster Window Van,3500 High Roof 3dr Van (3.6L 6cyl 6A),,$500 Military for Retail or Lease - Expires 01/03/2022,,,,$750 Conquest for Retail or Lease - Expires 03/31/2021,
